Godina,Razdjel,Naziv razdjela,Glava,Naziv glave,Glavni program,Naziv glavnog programa,Program,Naziv programa,Potprogram,Naziv potprograma,Funkcijsko podruèje,Naziv funkcijskog podruèja,Izvor financiranja,Naziv izvora financiranja,Razred stavke,Naziv razreda stavke,Skupina stavke,Naziv skupine stavke,Podskupina stavke,Naziv podskupine stavke,Tekuæi plan,Izvršenje
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,31,Rashodi za zaposlene,311,Plaæe (Bruto),80191250,79474158.81
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,31,Rashodi za zaposlene,312,Ostali rashodi za zaposlene,1231250,1100879.35
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,31,Rashodi za zaposlene,313,Doprinosi na plaæe,13804000,13635776.32
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,321,Naknade troškova zaposlenima,7830000,6451491.45
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,322,Rashodi za materijal i energiju,3520000,3195886.09
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,323,Rashodi za usluge,10600000,9550448.38
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,324,Naknade troškova osobama izvan radnog odnosa,300000,127284.93
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,329,Ostali nespomenuti rashodi poslovanja,4954000,4316425.28
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,34,Financijski rashodi,343,Ostali financijski rashodi,18789,8996.32
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,37,Naknade graðanima i kuæanstvima na temelju osiguranja i druge naknade,372,Ostale naknade graðanima i kuæanstvima iz proraèuna,200000,188055
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,4,Rashodi za nabavu nefinancijske imovine,42,Rashodi za nabavu proizvedene dugotrajne imovine,422,Postrojenja i oprema,461000,300449.68
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,4,Rashodi za nabavu nefinancijske imovine,42,Rashodi za nabavu proizvedene dugotrajne imovine,424,"Knjige, umjetnièka djela i ostale izložbene vrijednosti",135000,78816.29
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,3,VLASTITI PRIHODI,3,Rashodi poslovanja,32,Materijalni rashodi,323,Rashodi za usluge,18000,
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,5,POMOÆI,3,Rashodi poslovanja,32,Materijalni rashodi,324,Naknade troškova osobama izvan radnog odnosa,35000,23412.19
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501004,ODRŽAVANJE ZGRADE (NARODNO SVEUÈILIŠTE OTOÈAC),08,"Rekreacija, kultura i religija",1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,36,Pomoæi dane u inozemstvo i unutar opæeg proraèuna,366,Pomoæi proraèunskim korisnicima drugih proraèuna,360000,360000
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501004,ODRŽAVANJE ZGRADE (NARODNO SVEUÈILIŠTE OTOÈAC),08,"Rekreacija, kultura i religija",1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,38,Ostali rashodi,381,Tekuæe donacije,360000,0
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501026,OBILJEŽAVANJE SPOMENDANA BLEIBURŠKE TRAGEDIJE I KRIŽNOG PUTA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,38,Ostali rashodi,381,Tekuæe donacije,500000,500000
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501029,OBVEZE PO SUDSKIM SPOROVIMA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,31,Rashodi za zaposlene,312,Ostali rashodi za zaposlene,400,
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501029,OBVEZE PO SUDSKIM SPOROVIMA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,34,Financijski rashodi,343,Ostali financijski rashodi,100,
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501032,SPOMEN PODRUÈJE JASENOVAC I OBILJEŽAVANJE ANTIFAŠISTIÈKE BORBE U RH,08,"Rekreacija, kultura i religija",1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,36,Pomoæi dane u inozemstvo i unutar opæeg proraèuna,366,Pomoæi proraèunskim korisnicima drugih proraèuna,200000,200000
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501032,SPOMEN PODRUÈJE JASENOVAC I OBILJEŽAVANJE ANTIFAŠISTIÈKE BORBE U RH,08,"Rekreacija, kultura i religija",1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,38,Ostali rashodi,381,Tekuæe donacije,500000,297879.4
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501037,OBILJEŽAVANJE SJEÆANJA NA ŽRTVE SVIH TOTALITARNIH I AUTORITARNIH REŽIMA,08,"Rekreacija, kultura i religija",1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,38,Ostali rashodi,381,Tekuæe donacije,100000,
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,K501013,INFORMATIZACIJA HRVATSKOG SABORA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,4,Rashodi za nabavu nefinancijske imovine,41,Rashodi za nabavu neproizvedene dugotrajne imovine,412,Nematerijalna imovina,600000,360334.61
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,K501013,INFORMATIZACIJA HRVATSKOG SABORA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,4,Rashodi za nabavu nefinancijske imovine,42,Rashodi za nabavu proizvedene dugotrajne imovine,422,Postrojenja i oprema,1200000,610528.48
2016,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,K501013,INFORMATIZACIJA HRVATSKOG SABORA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,4,Rashodi za nabavu nefinancijske imovine,42,Rashodi za nabavu proizvedene dugotrajne imovine,426,Nematerijalna proizvedena imovina,200000,1462.5
