admin1_code,admin1_label,admin2_code,admin2_label,activity1_code,activity1_label,activity2_code,activity2_label,activity3_code,activity3_label,func1_code,func1_label,fin_source_code,fin_source_label,econ1_code,econ1_label,econ2_code,econ2_label,econ3_code,econ3_label,Year,value
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,31,Rashodi za zaposlene,311,Plaće (Bruto),2018,81820000
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,31,Rashodi za zaposlene,312,Ostali rashodi za zaposlene,2018,1070000
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,31,Rashodi za zaposlene,313,Doprinosi na plaće,2018,14091000
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,32,Materijalni rashodi,321,Naknade troškova zaposlenima,2018,9185000
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,32,Materijalni rashodi,322,Rashodi za materijal i energiju,2018,3515000
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,32,Materijalni rashodi,323,Rashodi za usluge,2018,12377310
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,32,Materijalni rashodi,324,Naknade troškova osobama izvan radnog odnosa,2018,815000
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,32,Materijalni rashodi,329,Ostali nespomenuti rashodi poslovanja,2018,8340000
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,34,Financijski rashodi,343,Ostali financijski rashodi,2018,15000
010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opće javne usluge,11,Opći prihodi i primi,3,Rashodi poslovanja,37,Naknade građanima i kućanstvima na temelju osiguranja i druge naknade,372,Ostale naknade građanima i kućanstvima iz proračuna,2018,250000
